application,score,filename,rule,targetfile,found,advice,category,fqn
App1,50,web.xml,xml-webprofile,web.xml,web.xml,Web application config file,config,/Users/swoods/pvtl/demo/App1/enterprise/jsf-jpa-war/web/WEB-INF/web.xml
App1,50,persistence.xml,xml-webprofile,persistence.xml,persistence.xml,Web application config file,config,/Users/swoods/pvtl/demo/App1/enterprise/jsf-jpa-war/src/conf/persistence.xml
App1,20,ejb-jar.xml,xml-jee,ejb-jar.xml,ejb-jar.xml,Convert to Spring based application configuration or use importResource,Config,/Users/swoods/pvtl/demo/App1/enterprise/annotation-override-interceptor-ear/annotation-override-interceptor-ejb/src/conf/ejb-jar.xml
App1,20,application.xml,xml-jee,application.xml,application.xml,Convert to Spring based application configuration or use importResource,Config,/Users/swoods/pvtl/demo/App1/enterprise/lottery-annotation-ear/src/conf/application.xml
App1,4,BankAccountService.wsdl,wsdl-soap,.*\.wsdl,BankAccountService.wsdl,"In Websphere Portal, necessary service beans were provided by JNDI. Cloud native application can not relay on JNDI, so we need to change configuration. Refer to cookbook URIs",soap,/Users/swoods/pvtl/demo/App1/webservices/xwss-bank-client/src/conf/xml-resources/web-service-references/BankAccountService/wsdl/localhost_8080/xwss-bank-service/BankAccountService.wsdl
App2,50,web.xml,xml-webprofile,web.xml,web.xml,Web application config file,config,/Users/swoods/pvtl/demo/App2/connectors/apps/mailconnector/mailconnector-ear/mailconnector-war/web/WEB-INF/web.xml
App2,50,persistence.xml,xml-webprofile,persistence.xml,persistence.xml,Web application config file,config,/Users/swoods/pvtl/demo/App2/jpa/criteriaQuery/src/conf/persistence.xml
App2,20,ejb-jar.xml,xml-jee,ejb-jar.xml,ejb-jar.xml,Convert to Spring based application configuration or use importResource,Config,/Users/swoods/pvtl/demo/App2/connectors/apps/mailconnector/mailconnector-ear/mailconnector-ejb/src/conf/ejb-jar.xml
App2,20,application.xml,xml-jee,application.xml,application.xml,Convert to Spring based application configuration or use importResource,Config,/Users/swoods/pvtl/demo/App2/ha/clusterjsp/src/conf/application.xml
App3,50,web.xml,xml-webprofile,web.xml,web.xml,Web application config file,config,/Users/swoods/pvtl/demo/App3/platform/movieplex7/src/main/webapp/WEB-INF/web.xml
App3,50,persistence.xml,xml-webprofile,persistence.xml,persistence.xml,Web application config file,config,/Users/swoods/pvtl/demo/App3/platform/movieplex7/src/main/resources/META-INF/persistence.xml
App3,20,ejb-jar.xml,xml-jee,ejb-jar.xml,ejb-jar.xml,Convert to Spring based application configuration or use importResource,Config,/Users/swoods/pvtl/demo/App3/connectors/mailconnector/mailconnector-mdb/src/main/resources/META-INF/ejb-jar.xml
App3,20,application.xml,xml-jee,application.xml,application.xml,Convert to Spring based application configuration or use importResource,Config,/Users/swoods/pvtl/demo/App3/connectors/mailconnector/mailconnector-ear/src/main/application/META-INF/application.xml
App4,50,web.xml,xml-webprofile,web.xml,web.xml,Web application config file,config,/Users/swoods/pvtl/demo/App4/batch/payroll/src/main/webapp/WEB-INF/web.xml
App4,50,persistence.xml,xml-webprofile,persistence.xml,persistence.xml,Web application config file,config,/Users/swoods/pvtl/demo/App4/platform/movieplex8/src/main/resources/META-INF/persistence.xml
App4,20,ejb-jar.xml,xml-jee,ejb-jar.xml,ejb-jar.xml,Convert to Spring based application configuration or use importResource,Config,/Users/swoods/pvtl/demo/App4/connectors/mailconnector/mailconnector-mdb/src/main/resources/META-INF/ejb-jar.xml
App4,20,application.xml,xml-jee,application.xml,application.xml,Convert to Spring based application configuration or use importResource,Config,/Users/swoods/pvtl/demo/App4/connectors/mailconnector/mailconnector-ear/src/main/application/META-INF/application.xml
App8,100,weblogic.xml,xml-weblogic,weblogic.xml,weblogic.xml,Convert to Spring based application configuration,webLogic,/Users/swoods/pvtl/demo/App8/src/main/webapp/WEB-INF/weblogic.xml
App8,50,web.xml,xml-webprofile,web.xml,web.xml,Web application config file,config,/Users/swoods/pvtl/demo/App8/src/weblogic/webapp/WEB-INF/web.xml
App8,50,persistence.xml,xml-webprofile,persistence.xml,persistence.xml,Web application config file,config,/Users/swoods/pvtl/demo/App8/src/main/resources/META-INF/persistence.xml
App9,50,web.xml,xml-webprofile,web.xml,web.xml,Web application config file,config,/Users/swoods/pvtl/demo/App9/src/main/webapp/WEB-INF/web.xml
App9,50,persistence.xml,xml-webprofile,persistence.xml,persistence.xml,Web application config file,config,/Users/swoods/pvtl/demo/App9/src/main/resources/META-INF/persistence.xml
App9,50,jboss-web.xml,xml-jboss,jboss-web.xml,jboss-web.xml,"The community maintained JBoss buildpack (https://github.com/cloudfoundry-community/jboss-buildpack) is a fork of the Java buildpack (https://github.com/cloudfoundry/java-buildpack). As facets of the JBoss buildpack are discussed, there may be many things that are identical or similar when compared to the original Java buildpack. Refer to cookbook URIs",Jboss,/Users/swoods/pvtl/demo/App9/src/main/webapp/WEB-INF/jboss-web.xml
