application,score,filename,line,rule,searchedfor,found,advice,category,fqn
App1,1000,faces-config.xml,51,xml-jsf-1-2,web-facesconfig_1_2.xsd,"xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/web-facesconfig_1_2.xsd"">",Refer to PCF documetation,jsf,/Users/swoods/pvtl/demo/App1/enterprise/jsf-jpa-war/web/WEB-INF/faces-config.xml
App1,700,web.xml,46,xml-servlet-2-4,web-app_2_4.xsd,"<web-app version=""2.4"" xmlns=""http://java.sun.com/xml/ns/j2ee"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://java.sun.com/xml/ns/j2ee http://java.sun.com/xml/ns/j2ee/web-app_2_4.xsd"">",Refer to PCF documetation,servlet,/Users/swoods/pvtl/demo/App1/enterprise/lottery-annotation-ear/lottery-annotation-war/web/WEB-INF/web.xml
App1,700,web.xml,48,xml-servlet-2-4,web-app_2_4.xsd," xsi:schemaLocation=""http://java.sun.com/xml/ns/j2ee http://java.sun.com/xml/ns/j2ee/web-app_2_4.xsd""",Refer to PCF documetation,servlet,/Users/swoods/pvtl/demo/App1/enterprise/customer-cmp-ear/customer-cmp-war/web/WEB-INF/web.xml
App1,400,web.xml,45,xml-servlet-2-5,web-app_2_5.xsd,"<web-app version=""2.5"" xmlns=""http://java.sun.com/xml/ns/javaee"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/web-app_2_5.xsd"">",Refer to PCF documetation,servlet,/Users/swoods/pvtl/demo/App1/enterprise/jsf-jpa-war/web/WEB-INF/web.xml
App1,400,web.xml,45,xml-servlet-2-5,web-app_2_5.xsd,"<web-app version=""2.5"" xmlns=""http://java.sun.com/xml/ns/javaee"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/web-app_2_5.xsd"">",Refer to PCF documetation,servlet,/Users/swoods/pvtl/demo/App1/enterprise/servlet-stateless-ear/servlet-stateless-war/web/WEB-INF/web.xml
App1,400,web.xml,48,xml-servlet-2-5,web-app_2_5.xsd," xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/web-app_2_5.xsd""",Refer to PCF documetation,servlet,/Users/swoods/pvtl/demo/App1/webservices/ssl-jaxws-ear/ssl-jaxws-war/web/WEB-INF/web.xml
App1,400,web.xml,48,xml-servlet-2-5,web-app_2_5.xsd," xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/web-app_2_5.xsd""",Refer to PCF documetation,servlet,/Users/swoods/pvtl/demo/App1/webservices/xwss-bank-client/web/WEB-INF/web.xml
App1,400,web.xml,48,xml-servlet-2-5,web-app_2_5.xsd," xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/web-app_2_5.xsd""",Refer to PCF documetation,servlet,/Users/swoods/pvtl/demo/App1/webservices/xwss-bank-service/web/WEB-INF/web.xml
App1,400,web.xml,45,xml-servlet-2-5,web-app_2_5.xsd,"<web-app version=""2.5"" xmlns=""http://java.sun.com/xml/ns/javaee"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://java.sun.com/xml/ns/javaee http://java.sun.com/xml/ns/javaee/web-app_2_5.xsd"">",Refer to PCF documetation,servlet,/Users/swoods/pvtl/demo/App1/enterprise/web-jpa-war/web/WEB-INF/web.xml
App1,100,LotteryBean.java,50,java-ejb-stateful,Stateful,@Stateful,Refer EJB stateful/stateless documentation,ejb,/Users/swoods/pvtl/demo/App1/enterprise/lottery-annotation-ear/lottery-annotation-ejb/src/java/enterprise/lottery_annotation_ejb_stateful/LotteryBean.java
App1,100,StatefulSessionBean.java,45,java-ejb-stateful,Stateful,@Stateful,Refer EJB stateful/stateless documentation,ejb,/Users/swoods/pvtl/demo/App1/enterprise/duke-stateful-ear/duke-stateful-ejb/src/java/enterprise/duke_stateful_ejb/StatefulSessionBean.java
App1,50,UserManager.java,79,java-jta,UserTransaction,private UserTransaction utx;,Distributed transcations are problematic and should be remediated.,jta,/Users/swoods/pvtl/demo/App1/enterprise/jsf-jpa-war/src/java/enterprise/jsf_jpa_war/UserManager.java
App1,50,UserManager.java,79,java-jta,UserTransaction,private UserTransaction utx;,Distributed transcations are problematic and should be remediated.,jta,/Users/swoods/pvtl/demo/App1/enterprise/jsf-jpa-war/src/java/enterprise/jsf_jpa_war/UserManager.java
App1,50,CreatePersonServlet.java,65,java-jta,UserTransaction,private UserTransaction utx;,Distributed transcations are problematic and should be remediated.,jta,/Users/swoods/pvtl/demo/App1/enterprise/web-jpa-war/src/java/enterprise/web_jpa_war/servlet/CreatePersonServlet.java
App1,50,CreatePersonServlet.java,65,java-jta,UserTransaction,private UserTransaction utx;,Distributed transcations are problematic and should be remediated.,jta,/Users/swoods/pvtl/demo/App1/enterprise/web-jpa-war/src/java/enterprise/web_jpa_war/servlet/CreatePersonServlet.java
App1,10,UserManager.java,53,java-servlet-session,import javax.servlet.http.HttpSession,import javax.servlet.http.HttpSession;,HTTP Sesssion Java API Import. Typically remediated by exernalizing session state.,servlet,/Users/swoods/pvtl/demo/App1/enterprise/jsf-jpa-war/src/java/enterprise/jsf_jpa_war/UserManager.java
App1,10,JavaClient.java,54,java-batch,InitialContext,InitialContext ic = new InitialContext();,Remove jndi provider or move to TKG,jndi,/Users/swoods/pvtl/demo/App1/enterprise/lottery-annotation-ear/lottery-annotation-appclient/src/java/enterprise/lottery_annotation_appclient/JavaClient.java
